# Ising model
# calculation of impurity tensor
# "HOSVD optimization" is on
# Fisher's parametrization
# D=8, h=1.000000E-14
# Temp		Free energy		Magnetization		Pseudo entr		X1			X2			Sing values												Iter
1.000000E-01	-2.0000000000000102E+00	-1.0000000000000000E+00	0.0000000000000000E+00	1.0000000000000000E+00	1.0000000000000000E+00	1.0000000000000000E+00	4.2483542552907546E-18	4.2483542552907546E-18	1.8048513878447062E-35		49
1.100000E-01	-2.0000000000000098E+00	-1.0000000000000000E+00	3.7815867548969639E-30	1.0000000000000000E+00	1.0000000000000000E+00	1.0000000000000000E+00	1.6124022122261089E-16	1.6124022122261087E-16	2.5998408939916497E-32		49
1.200000E-01	-2.0000000000000098E+00	-1.0000000000000004E+00	1.4858442104533182E-27	1.0000000000000000E+00	1.0000000000000000E+00	1.0000000000000000E+00	3.3382377953644699E-15	3.3382377953644691E-15	1.1143831578399834E-29		49
1.300000E-01	-2.0000000000000098E+00	-1.0000000000000000E+00	2.3139946972074248E-25	1.0000000000000000E+00	1.0000000000000000E+00	1.0000000000000000E+00	4.3360358525743655E-14	4.3360358525743623E-14	2.5590502794568591E-18		49
1.400000E-01	-2.0000000000000102E+00	-9.9999999999999978E-01	1.7424663891845732E-23	1.0000000000000000E+00	1.0000000000000000E+00	1.0000000000000000E+00	3.9046870432040226E-13	3.9046870432040186E-13	1.5246580905365357E-25		49
1.500000E-01	-2.0000000000000102E+00	-1.0000000000000002E+00	7.3393289861834457E-22	1.0000000000000000E+00	1.0000000000000000E+00	1.0000000000000000E+00	2.6230937696827203E-12	2.6230937696827191E-12	6.8806209245483016E-24		49
1.600000E-01	-2.0000000000000102E+00	-1.0000000000000002E+00	1.9287498480684720E-20	1.0000000000000000E+00	1.0000000000000000E+00	1.0000000000000000E+00	1.3887943865348127E-11	1.3887943865348120E-11	1.9287498480706057E-22		49
1.700000E-01	-2.0000000000000102E+00	-1.0000000000000000E+00	3.4378243052330390E-19	1.0000000000000000E+00	1.0000000000000000E+00	1.0000000000000000E+00	6.0437474503232285E-11	6.0437474503232272E-11	3.9365781106359850E-17		50
1.800000E-01	-2.0000000000000102E+00	-1.0000000000000000E+00	4.4347639085788607E-18	1.0000000000000000E+00	1.0000000000000000E+00	1.0000000000000000E+00	2.2336314372007510E-10	2.2336314372007494E-10	4.9891093972514890E-20		50
1.900000E-01	-2.0000000000000098E+00	-9.9999999999999978E-01	4.3579569359909166E-17	1.0000000000000000E+00	1.0000000000000000E+00	1.0000000000000000E+00	7.1937986223155157E-10	7.1937986223155147E-10	5.1750738618428609E-19		50
2.000000E-01	-2.0000000000000102E+00	-1.0000000000000002E+00	3.3986834315529930E-16	1.0000000000000000E+00	1.0000000000000000E+00	1.0000000000000000E+00	2.0611536309350825E-09	2.0611536309350821E-09	4.2483542903168736E-18		50
2.100000E-01	-2.0000000000000102E+00	-9.9999999999999978E-01	2.1744478951016976E-15	1.0000000000000000E+00	1.0000000000000000E+00	1.0000000000000000E+00	5.3422493988224249E-09	5.3422493988224241E-09	2.8539628639218559E-17		50
2.200000E-01	-2.0000000000000107E+00	-1.0000000000000000E+00	1.2170651332550829E-14	1.0000000000000000E+00	1.0000000000000000E+00	9.9999999999999978E-01	1.2698040376859442E-08	1.2698040376859437E-08	1.6124022941235270E-16		50
2.300000E-01	-2.0000000000000098E+00	-9.9999999999999845E-01	5.6288991329631882E-14	1.0000000000000000E+00	1.0000000000000000E+00	9.9999999999999911E-01	2.7993197804461655E-08	2.7993197804461632E-08	7.8361912331971677E-16		50
2.400000E-01	-2.0000000000000098E+00	-9.9999999999999356E-01	2.2921057439572661E-13	1.0000000000000000E+00	1.0000000000000000E+00	9.9999999999999667E-01	5.7777491870663753E-08	5.7777491870663727E-08	3.3382385668646260E-15		50
2.500000E-01	-2.0000000000000129E+00	-9.9999999999997402E-01	8.3582003354423166E-13	1.0000000000000000E+00	1.0000000000000000E+00	9.9999999999998734E-01	1.1253520004759107E-07	1.1253520004759095E-07	1.2664171249751488E-14		50
2.600000E-01	-2.0000000000000213E+00	-9.9999999999991318E-01	2.7549293016421242E-12	1.0000000000000000E+00	1.0000000000000000E+00	9.9999999999995670E-01	2.0823158896224335E-07	2.0823158896224314E-07	4.3360394641742495E-14		50
2.700000E-01	-2.0000000000000462E+00	-9.9999999999972911E-01	8.3019417862778066E-12	1.0000000000000000E+00	1.0000000000000000E+00	9.9999999999986455E-01	3.6813575087844744E-07	3.6813575087844697E-07	1.3552393107485646E-13		50
2.800000E-01	-2.0000000000001190E+00	-9.9999999999921918E-01	2.3093704128117029E-11	1.0000000000000000E+00	1.0000000000000000E+00	9.9999999999960942E-01	6.2487573188514349E-07	6.2487573188514307E-07	3.9046968029914596E-13		50
2.900000E-01	-2.0000000000003135E+00	-9.9999999999790912E-01	5.9793048830281063E-11	1.0000000000000000E+00	1.0000000000000000E+00	9.9999999999895417E-01	1.0226621262164330E-06	1.0226621262164318E-06	1.0458378243986079E-12		50
3.000000E-01	-2.0000000000007976E+00	-9.9999999999475353E-01	1.4514523255294080E-10	1.0000000000000000E+00	1.0000000000000000E+00	9.9999999999737699E-01	1.6196020385255481E-06	1.6196020385255472E-06	2.6231107632029890E-12		50
3.100000E-01	-2.0000000000019318E+00	-9.9999999998759914E-01	3.3240983437971595E-10	1.0000000000000000E+00	1.0000000000000000E+00	9.9999999999379985E-01	2.4900174825280454E-06	2.4900174825280441E-06	6.2001870633337435E-12		50
